StateName,StateCode,DistrictName,DistrictCode,SubDistrictName,SubDistrictCode,Constituency,VillageName,VillageCode,Year,Month,Count,Min,Max,Mean,Median
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2010,12,27,-5.5400,5.9293,-0.0329,-0.5806
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2011,1,30,-4.2680,18.1868,0.5308,-0.0622
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2011,2,25,-7.3478,18.7579,2.0903,0.9659
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2011,3,22,-5.1340,5.9600,-0.8248,-1.3821
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2011,4,14,-3.0000,4.1765,0.6592,0.3998
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2011,8,3,-0.1667,2.8182,0.9949,0.3333
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2011,9,15,-4.9535,9.8125,0.5883,0.5192
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2011,10,22,-4.8116,3.2118,-0.5294,-0.4846
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2011,11,23,-3.4881,7.5816,0.9646,0.8261
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2011,12,29,-3.5895,3.5816,0.2098,0.2784
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2012,1,30,-4.1900,6.8800,0.2075,-0.1450
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2012,2,25,-6.9885,2.1177,-1.6285,-1.3529
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2012,3,19,-3.9697,8.3973,-0.0553,-0.8710
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2012,4,17,-5.1702,9.3774,1.2523,0.9524
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2012,8,3,-4.5122,13.9583,6.3349,9.5588
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2012,9,15,-3.2046,11.1687,1.4999,0.6400
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2012,10,26,-5.5833,13.0633,1.6704,1.4856
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2012,11,28,-3.7980,9.8878,0.5737,-0.0173
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2012,12,31,-7.3571,8.7340,-0.2492,-0.0323
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2013,1,31,-5.1600,4.8163,-0.8061,-1.2051
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2013,2,23,-6.1882,6.9694,0.8263,0.6027
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2013,3,23,-3.0351,9.0303,1.8304,0.9722
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2013,4,12,-6.8730,2.5641,-0.9870,-0.7727
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2013,9,17,-2.0612,5.3409,1.1924,1.1778
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2013,10,23,-4.6032,10.0968,0.6414,0.7952
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2013,11,29,-7.6868,7.8864,-0.8335,-1.5464
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Namla ,00000300,2013,12,25,-1.6939,9.3163,1.7256,1.4796
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Lodhama ,00000400,2008,1,26,-7.3529,5.3636,-0.1219,-0.1422
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Lodhama ,00000400,2008,2,22,-9.9420,8.7125,-1.4586,-0.9359
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Lodhama ,00000400,2008,3,17,-6.1864,10.0000,-0.8208,-1.3273
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Lodhama ,00000400,2008,4,5,-3.4138,1.2105,-0.3947,0.0769
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Lodhama ,00000400,2008,9,6,-4.8571,2.5833,-1.3700,-1.2973
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Lodhama ,00000400,2008,10,19,-4.4286,11.0206,-0.2503,-0.7692
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Lodhama ,00000400,2008,11,26,-6.0206,1.3790,-1.8351,-1.6339
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Lodhama ,00000400,2008,12,18,-3.0714,5.1778,0.0761,0.0977
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Lodhama ,00000400,2009,1,26,-6.6049,4.3125,-0.7411,-0.3838
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Lodhama ,00000400,2009,2,19,-8.4881,8.6452,-0.6129,-0.9535
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Lodhama ,00000400,2009,3,2,-2.0577,2.3864,0.1643,0.1643
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Lodhama ,00000400,2009,9,3,-2.6250,-0.4783,-1.4959,-1.3846
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Lodhama ,00000400,2009,10,12,-3.2533,0.6818,-1.1661,-1.2305
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Lodhama ,00000400,2009,11,20,-4.3117,4.4177,-1.1168,-1.3736
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Lodhama ,00000400,2009,12,19,-3.8267,1.0323,-0.5049,-0.1294
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Lodhama ,00000400,2010,1,31,-9.4343,7.0760,-1.6004,-1.0588
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Lodhama ,00000400,2010,2,21,-3.6818,2.8837,-0.4589,-0.7722
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Lodhama ,00000400,2010,3,15,-5.4651,0.0820,-2.7190,-2.7069
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Lodhama ,00000400,2010,4,8,-4.0370,1.4286,-2.1863,-2.7516
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Lodhama ,00000400,2010,8,1,-1.4000,-1.4000,-1.4000,-1.4000
